eps_xx,sigma_xx_MPa,time,U1_raw
3.77513637e-03,1.84510935e+02,0.806853,5.96294703e-04
3.77711252e-03,1.84779671e+02,0.807275,5.98270854e-04
3.77908861e-03,1.85024684e+02,0.807697,6.00246945e-04
3.78106470e-03,1.85269481e+02,0.808120,6.02223037e-04
3.78402887e-03,1.85614879e+02,0.808753,6.05187204e-04
3.78847518e-03,1.86100284e+02,0.809704,6.09633513e-04
3.79514456e-03,1.86770595e+02,0.811129,6.16302888e-04
3.80514865e-03,1.87678026e+02,0.813267,6.26306981e-04
3.81515274e-03,1.88495512e+02,0.815405,6.36311073e-04
3.82515677e-03,1.89240073e+02,0.817544,6.46315108e-04
3.83516087e-03,1.89916363e+02,0.819682,6.56319200e-04
3.84685799e-03,1.90624416e+02,0.822182,6.68016321e-04
3.85855511e-03,1.91255558e+02,0.824682,6.79713441e-04
3.87025217e-03,1.91814703e+02,0.827182,6.91410503e-04
3.87317647e-03,1.91945833e+02,0.827807,6.94334798e-04
3.87756288e-03,1.92132494e+02,0.828744,6.98721211e-04
3.88414250e-03,1.92393530e+02,0.830150,7.05300830e-04
3.89401196e-03,1.92742959e+02,0.832260,7.15170288e-04
3.90570902e-03,1.93100382e+02,0.834760,7.26867351e-04
3.91740614e-03,1.93402614e+02,0.837260,7.38564471e-04
3.92910326e-03,1.93658645e+02,0.839760,7.50261592e-04
3.93202750e-03,1.93711391e+02,0.840385,7.53185828e-04
3.93641397e-03,1.93786037e+02,0.841322,7.57572299e-04
3.94299359e-03,1.93894881e+02,0.842729,7.64151919e-04
3.94463848e-03,1.94007145e+02,0.843080,7.65796809e-04
3.94628337e-03,1.94041026e+02,0.843432,7.67441699e-04
3.94792826e-03,1.94088790e+02,0.843783,7.69086590e-04
3.95039562e-03,1.94154920e+02,0.844311,7.71553954e-04
3.95409670e-03,1.94255702e+02,0.845102,7.75255030e-04
3.95964825e-03,1.94403206e+02,0.846288,7.80806586e-04
3.96519981e-03,1.94544866e+02,0.847475,7.86358141e-04
3.97075136e-03,1.94683446e+02,0.848661,7.91909697e-04
3.97907867e-03,1.94877876e+02,0.850441,8.00237001e-04
3.98740597e-03,1.95055274e+02,0.852221,8.08564306e-04
3.98948783e-03,1.95097398e+02,0.852666,8.10646161e-04
3.99261061e-03,1.95157890e+02,0.853333,8.13768944e-04
3.99729470e-03,1.95246034e+02,0.854334,8.18453031e-04
4.00432089e-03,1.95371207e+02,0.855836,8.25479219e-04
4.01486020e-03,1.95545458e+02,0.858088,8.36018531e-04
4.01778443e-03,1.95588465e+02,0.858714,8.38942768e-04
4.02217085e-03,1.95650814e+02,0.859651,8.43329180e-04
4.02875047e-03,1.95740317e+02,0.861057,8.49908800e-04
4.03121783e-03,1.95771118e+02,0.861585,8.52376164e-04
4.03491891e-03,1.95816345e+02,0.862376,8.56077240e-04
4.04047046e-03,1.95881887e+02,0.863562,8.61628796e-04
4.04879777e-03,1.95974968e+02,0.865342,8.69956100e-04
4.06049489e-03,1.96096020e+02,0.867842,8.81653221e-04
4.06341912e-03,1.96180586e+02,0.868467,8.84577457e-04
4.06634342e-03,1.96214534e+02,0.869092,8.87501752e-04
4.06926771e-03,1.96249729e+02,0.869717,8.90426047e-04
4.06999880e-03,1.96773295e+02,0.869873,8.91157135e-04
4.07072983e-03,1.96785638e+02,0.870029,8.91888165e-04
4.07146092e-03,1.96795738e+02,0.870186,8.92619253e-04
4.07255749e-03,1.96810437e+02,0.870420,8.93715827e-04
4.07420244e-03,1.96831431e+02,0.870772,8.95360776e-04
4.07666975e-03,1.96861235e+02,0.871299,8.97828082e-04
4.08037083e-03,1.96902997e+02,0.872090,9.01529158e-04
4.08592238e-03,1.96962153e+02,0.873276,9.07080714e-04
4.09424969e-03,1.97047307e+02,0.875056,9.15408018e-04
4.10257705e-03,1.97125238e+02,0.876836,9.23735381e-04
4.11090435e-03,1.97127050e+02,0.878616,9.32062685e-04
4.11382865e-03,1.97075300e+02,0.879241,9.34986980e-04
4.11821506e-03,1.97025928e+02,0.880178,9.39373393e-04
4.12479468e-03,1.96993587e+02,0.881585,9.45953012e-04
4.13466414e-03,1.96994199e+02,0.883694,9.55822470e-04
